FIT_log_likelihood,absolute_error_Delta,absolute_error_G,absolute_error_Omega,absolute_error_R,baseline_guard_hit_count,baseline_guard_hits,converged,delta_LS_ar1,delta_LS_narrative,delta_LS_persistence,error,fitted_Delta,fitted_G,fitted_Omega,fitted_R,fitted_local_regime,holdout_LS_RCWE,holdout_MAE_RCWE,optimizer_agreement,optimizer_reported_successful_starts,regime_recovered,scenario,seed,stationary_starts,successful_starts,top_two_log_likelihood_gap,truth_Delta,truth_G,truth_Omega,truth_R,truth_regime
-18.728170606162237,0.0005963898349480301,0.1439874869807075,0.22406384575709026,0.01478357958854172,0,,True,-0.13748468516435963,2.207633566446196,2.477388977613515,,0.500596389834948,0.9439874869807076,8.22406384575709,0.11478357958854173,stable,-8.23639285337128,0.03560956915276507,True,3,True,strong_stable,260911,3,3,4.618527782440651e-14,0.5,0.8,8.0,0.1,stable
-37.623935129667345,0.013323172095788482,0.16773027151828912,0.3624584079409576,0.015723179035406168,0,,True,-0.14966224317287313,0.26679682128176196,3.47693363451277,,0.5133231720957885,0.9677302715182892,8.362458407940958,0.11572317903540617,stable,-12.28351409433512,0.06421138201049559,True,3,True,strong_stable,260912,3,3,2.7782220968219917e-12,0.5,0.8,8.0,0.1,stable
-26.876619742310382,0.009172270246108782,0.3008337279217014,0.945653769275518,0.04420013506528494,0,,True,0.9093798456389286,4.533193339606548,6.565097209997246,,0.5091722702461088,0.49916627207829867,8.945653769275518,0.05579986493471507,stable,-2.39756012605818,0.011805870659232087,True,3,True,strong_stable,260913,3,3,1.0658141036401503e-13,0.5,0.8,8.0,0.1,stable
-28.97661305743942,0.003998611306937461,0.15133747556695887,0.042929022885737744,0.019558751995947893,0,,True,1.8166841354230332,2.51470253490901,6.462938135271241,,0.5039986113069375,0.9513374755669589,7.957070977114262,0.1195587519959479,stable,-4.862901809272424,0.02635719843785319,True,4,True,strong_stable,260914,3,3,4.511946372076636e-13,0.5,0.8,8.0,0.1,stable
-32.62317083032788,0.0022354397276242444,0.12445966621889648,0.47026701600806753,0.009141738326755008,0,,True,1.934398680571471,2.2098090557021806,6.569104312686861,,0.49776456027237576,0.9244596662188965,8.470267016008068,0.10914173832675501,stable,-7.959408302441057,0.03217384775393349,True,3,True,strong_stable,260915,3,3,2.1316282072803006e-14,0.5,0.8,8.0,0.1,stable
-16.19996198083199,0.020563165878209055,0.07768022969185928,0.09549642914654477,0.008415862742142843,0,,False,1.6463268858486644,7.9242728111590655,4.730632338796799,,0.520563165878209,0.8776802296918593,8.095496429146545,0.10841586274214285,stable,-3.902108601104788,0.044992799899786454,False,3,True,strong_stable,260916,1,1,,0.5,0.8,8.0,0.1,stable
-17.35290632591636,0.012713663708899703,0.024102224997477606,0.2576506503891274,0.00020136962821946935,0,,True,0.2802553590435277,6.545322998459784,2.1014493880771266,,0.5127136637088997,0.8241022249974777,8.257650650389127,0.09979863037178054,stable,-5.8983713825226305,0.03358921524462025,True,4,True,strong_stable,260917,4,4,4.973799150320701e-14,0.5,0.8,8.0,0.1,stable
-34.07883710704561,0.006001190624056907,0.058824827986341366,0.5910257305727757,3.232967513387697e-05,0,,True,0.3683893205959361,23.37879912218017,3.175332338342338,,0.5060011906240569,0.8588248279863414,8.591025730572776,0.09996767032486613,stable,-10.307896179381578,0.045152565305316326,True,3,True,strong_stable,260918,3,3,4.263256414560601e-14,0.5,0.8,8.0,0.1,stable
-32.87189669895964,0.008938600380247852,0.0719874379301979,0.4698591463704602,0.002951822794345485,0,,True,2.117215072260208,4.358802720873268,7.507749548304968,,0.49106139961975215,0.871987437930198,8.46985914637046,0.10295182279434549,stable,-3.2132284424041706,0.015391320115363195,True,4,True,strong_stable,260919,3,3,6.394884621840902e-14,0.5,0.8,8.0,0.1,stable
-23.02373024438538,0.009805962835384596,0.04948257827505098,0.22653872209765424,0.003261238653532353,0,,True,1.1288643519865431,3.287625315767375,4.268908227364571,,0.5098059628353846,0.849482578275051,8.226538722097654,0.10326123865353236,stable,-4.36383271251945,0.027403233871576817,True,3,True,strong_stable,260920,2,2,8.881784197001252e-14,0.5,0.8,8.0,0.1,stable
